param delay_link :=
  [N20,N3] 0.000
  [N20,N4] 0.000
  [N20,N12] 0.000
  [N20,N15] 0.000
  [N17,N20] 0.000
  [N20,N22] 0.000
  [N20,N23] 0.000
  [N21,N10] 0.000
  [N23,N9] 0.000
  [N23,N14] 0.000
  [N23,N24] 0.000
  [N24,N14] 0.000
  [N2,N12] 0.000
  [N2,N15] 0.000
  [N3,N14] 0.000
  [N3,N15] 0.000
  [N4,N8] 0.000
  [N3,N5] 0.000
  [N5,N6] 0.000
  [N5,N15] 0.000
  [N6,N15] 0.000
  [N8,N22] 0.000
  [N10,N15] 0.000
  [N11,N15] 0.000
  [N15,N16] 0.000
  [N17,N1] 0.000
  [N18,N11] 0.000
  [N18,N21] 0.000
  [N2,N19] 0.000
  [N15,N19] 0.000
  [N15,N18] 0.000
  [N1,N9] 0.000
  [N1,N20] 0.000
  [N12,N22] 0.000
  [N8,N20] 0.000
  [N2,N5] 0.000
  [N5,N12] 0.000
  [N11,N16] 0.000
  [N18,N16] 0.000
  [N16,N10] 0.000
  [N16,N19] 0.000
  [N9,N20] 0.000
  [N15,N23] 0.000
  [N7,N19] 0.000
  [N4,N12] 0.000
  [N12,N13] 0.000
  [N5,N13] 0.000
  [N2,N13] 0.000
  [N7,N16] 0.000
  [N17,N23] 0.000
  [N3,N5] 0.000
  [N10,N7] 0.000
  [N11,N16] 0.000
  [N17,N20] 0.000
  [N18,N16] 0.000
;
